ident,type,description,mhz
KBKL,ASOS,ASOS,125.250
KBKL,ATIS,ATIS,125.250
KBKL,CTAF,CTAF,124.300
KBKL,GND,GND,121.900
KBKL,TWR,LAKEFRONT TWR,124.300
KBKL,UNIC,UNICOM,122.950
KBKN,CNTR,KANSAS CITY CNTR,127.800
KBKN,CTAF,CTAF,122.800
KBKS,APP,KINGSVILLE APP,119.900
KBKS,AWOS,AWOS 3,118.125
KBKS,DEP,KINGSVILLE DEP,119.900
KBKS,UNIC,CTAF/UNICOM,122.800
KBKT,CNTR,WASHINGTON CNTR,118.750
KBKT,OPS,RANGE OPS,38.300
KBKT,TWR,TWR,38.300
KBKT,UNIC,CTAF/UNICOM,122.950
KBKV,A/D,TAMPA APP/DEP,125.300
KBKV,ASOS,ASOS,134.725
KBKV,CLD,TAMPA CLNC DEL,119.125
KBKV,OPS,ARNG OPS,40.900
KBKV,RDO,ST PETERSBURG RDO,122.300
KBKV,UNIC,CTAF/UNICOM,123.000
KBKW,A/D,CHARLESTON APP/DEP,118.950
KBKW,ASOS,ASOS,121.550
KBKW,AWOS,AWOS 3,124.650
KBKW,RDO,ELKINS RDO,117.700
KBKW,UNIC,CTAF/UNICOM,123.000
KBKX,AWOS,AWOS 3,108.800
KBKX,RDO,HURON RDO,122.650
KBKX,UNIC,CTAF/UNICOM,123.000
KBLF,ASOS,ASOS,132.725
KBLF,CNTR,INDIANAPOLIS CNTR,126.575
KBLF,CTAF,CTAF,122.900
KBLF,RDO,ELKINS RDO,122.200
KBLH,ASOS,ASOS,120.175
KBLH,CNTR,LOS ANGELES CNTR,128.150
KBLH,RDO,RIVERSIDE RDO,122.400
KBLH,UNIC,CTAF/UNICOM,122.800
KBLI,A/D,VICTORIA APP/DEP,132.700
KBLI,ATIS,ATIS,134.450
KBLI,CTAF,CTAF,124.900
KBLI,GND,GND,127.400
KBLI,RDO,SEATTLE RDO,122.150
KBLI,TWR,TWR,124.900
KBLI,UNIC,UNICOM,122.950
KBLM,A/D,MC GUIRE APP/DEP,124.150
KBLM,AWOS,AWOS 3,121.625
KBLM,CLD,MCGUIRE CLNC DEL,120.950
KBLM,RDO,MILLVILLE RDO,113.800
KBLM,UNIC,CTAF/UNICOM,123.000
KBLU,ASOS,ASOS,120.075
KBLU,CTAF,CTAF,122.900
KBLV,A/D,ST LOUIS APP/DEP,125.200
KBLV,ACP,126 ARW COMD POST,138.550
KBLV,ATIS,ATIS,128.700
KBLV,CLD,CLNC DEL,121.750
KBLV,GND,GND,119.200
KBLV,PMSV,PMSV METRO,23.980
KBLV,POST,375 AW COMD POST,130.650
KBLV,PTD,PTD,139.850
KBLV,TWR,TWR,118.650
KBLV,UNIC,UNICOM,122.950
KBMC,A/D,APP/DEP,121.100
KBMC,AWOS,AWOS 3,135.075
KBMC,CLD,CLNC DEL,126.000
KBMC,UNIC,CTAF/UNICOM,123.050
KBMG,A/D,HULMAN APP/DEP,128.025
KBMG,ASOS,ASOS,110.200
KBMG,CTAF,CTAF,120.775
KBMG,GND,GND,121.900
KBMG,RDO,TERRE HAUTE RDO,110.200
KBMG,TWR,BLOOMINGTON TWR,120.775
KBMG,UNIC,UNICOM,122.950
KBMI,A/D,PEORIA APP/DEP,118.050
KBMI,ASOS,ASOS,135.350
KBMI,ATIS,ATIS,135.350
KBMI,CTAF,CTAF,124.600
KBMI,GND,GND,121.650
KBMI,RDO,KANKAKEE RDO,108.200
KBMI,TWR,BLOOMINGTON TWR,124.600
KBMI,UNIC,UNICOM,122.950
KBML,ASOS,ASOS,135.175
KBML,RDO,BANGOR RDO/CLNC DEL,122.350
KBML,UNIC,CTAF/UNICOM,122.700
KBMQ,ASOS,ASOS,119.925
KBMQ,CNTR,HOUSTON CNTR,132.350
KBMQ,UNIC,CTAF/UNICOM,122.800
KBMT,A/D,APP/DEP,121.300
KBMT,CLD,CLNC DEL,121.750
KBMT,RDO,MONTGOMERY CO RDO,122.200
KBMT,UNIC,CTAF/UNICOM,123.000
KBNA,APP,APP,120.600
KBNA,ATIS,ATIS,135.100
KBNA,CLD,CLNC DEL,126.050
KBNA,DEP,DEP,118.400
KBNA,GND,GND,121.900
KBNA,MISC,ANG MAINT,138.100
KBNA,OPS,ANG OPS,32.290
KBNA,RDO,RDO,122.200
KBNA,TWR,TWR,118.600
KBNA,UNIC,UNICOM,122.950
KBNG,UNIC,CTAF/UNICOM,122.800
KBNL,A/D,JACKSONVILLE APP/DEP,132.500
KBNL,AWOS,AWOS 3,119.775
KBNL,UNIC,CTAF/UNICOM,122.800
KBNO,ASOS,ASOS,135.575
KBNO,RDO,MC MINNVILLE RDO,122.500
KBNO,UNIC,CTAF/UNICOM,122.800
KBNW,A/D,DES MOINES APP/DEP,123.900
KBNW,AWOS,AWOS 3,120.925
KBNW,OPS,ARNG OPS,36.700
KBNW,UNIC,CTAF/UNICOM,123.000
KBOI,A/D,APP/DEP,119.600
KBOI,ATIS,ATIS,123.900
KBOI,CLD,CLNC DEL,125.900
KBOI,CNTR,SALT LAKE CITY CNTR,128.050
KBOI,GND,GND,121.700
KBOI,MISC,ANG OPS,29.870
KBOI,OPS,ARNG OPS,41.500
KBOI,RDO,RDO,122.200
KBOI,TWR,TWR,118.100
KBOI,UNIC,UNICOM,122.950
KBOS,APP,BOSTON APP NORTH,118.250
KBOS,APP,BOSTON APP WEST,120.600
KBOS,APP,BOSTON APP SOUTH,127.200
KBOS,ATIS,ATIS,135.000
KBOS,CLD,CLNC DEL,121.650
KBOS,DEP,BOSTON DEP,133.000
KBOS,GND,BOSTON GROUND,121.750
KBOS,GND,GND,121.900
KBOS,GTE,GATE,134.050
KBOS,RDO,BRIDGEPORT RDO,122.400
KBOS,TWR,BOSTON TWR WEST,128.800
KBOS,TWR,BOSTON TWR EAST,132.225
KBOS,UNIC,UNICOM,122.950
KBOW,A/D,TAMPA APP/DEP,120.650
KBOW,AWOS,AWOS 3,123.775
KBOW,CTAF,CTAF,121.200
KBOW,GND,GND,121.900
KBOW,TWR,TWR,121.200
KBOW,UNIC,UNICOM,122.950
KBPG,AWOS,AWOS 3,118.025
KBPG,CNTR,FORT WORTH CNTR,133.700
KBPG,FSS,SAN ANGELO RDO,122.400
KBPG,UNIC,CTAF/UNICOM,122.800
KBPI,ASOS,ASOS,135.225
KBPI,RDO,CASPER RDO,122.300
KBPI,UNIC,CTAF/UNICOM,122.800
KBPK,ASOS,ASOS,133.975
KBPK,CNTR,MEMPHIS CNTR,126.850
KBPK,UNIC,CTAF/UNICOM,123.000
KBPT,A/D,BEAUMONT APP/DEP,121.300
KBPT,ATIS,ATIS,126.300
KBPT,CLD,CLNC DEL,118.300
KBPT,CTAF,CTAF,119.500
KBPT,GND,GND,121.900
KBPT,RDO,MONTGOMERY CO RDO,122.200
KBPT,TWR,BEAUMONT TWR,119.500
KBPT,UNIC,UNICOM,122.950
KBQK,AWOS,AWOS 3,124.175
KBQK,CLD,CLNC DEL,126.750
KBQK,CNTR,JACKSONVILLE CNTR,126.750
KBQK,RDO,MACON RDO,122.200
KBQK,UNIC,CTAF/UNICOM,122.800
KBQP,A/D,MONROE APP/DEP,126.900
KBQP,AWOS,AWOS 3,32.900
KBQP,UNIC,CTAF/UNICOM,122.800
KBQR,UNIC,CTAF/UNICOM,123.050
KBRD,ASOS,ASOS,126.775
KBRD,CNTR,MINNEAPOLIS CNTR,118.050
KBRD,RDO,PRINCETON RDO,123.650
KBRD,UNIC,CTAF/UNICOM,122.700
KBRL,ASOS,ASOS,118.025
KBRL,CNTR,CHICAGO CNTR,135.600
KBRL,RDO,FORT DODGE RDO,122.650
KBRL,UNIC,CTAF/UNICOM,123.000
KBRO,A/D,VALLEY APP/DEP,119.500
KBRO,ATIS,ATIS,128.550
KBRO,CTAF,CTAF,118.900
KBRO,GND,GND,121.900
KBRO,RDO,SAN ANGELO RDO,122.300
KBRO,TWR,TWR,118.900
KBRO,UNIC,UNICOM,122.950
KBRY,A/D,LOUISVILLE APP/DEP,123.675
KBRY,AWOS,AWOS 3,119.925
KBRY,UNIC,CTAF/UNICOM,122.800
KBST,APP,BANGOR APP/DEP,118.925
KBST,CLD,CLNC DEL,121.975
KBST,UNIC,CTAF/UNICOM,122.800
KBTA,CTAF,CTAF,122.900
KBTF,CLD,SALT LAKE CITY,120.700
KBTF,UNIC,CTAF/UNICOM,122.800
KBTL,A/D,KALAMAZOO APP/DEP,119.200
KBTL,ATIS,ATIS,128.325
KBTL,CTAF,CTAF,118.500
KBTL,GND,GND,121.700
KBTL,OPS,ANG OPS,32.350
KBTL,RDO,LANSING RDO,122.200
KBTL,TWR,BATTLE CREEK TWR,126.825
KBTL,UNIC,UNICOM,122.950
KBTM,ASOS,ASOS,135.175
KBTM,CNTR,SALT LAKE CITY CNTR,132.400
KBTM,RDO,GREAT FALLS RDO,122.200
KBTM,UNIC,CTAF/UNICOM,123.000
KBTN,CNTR,MINNEAPOLIS CNTR,120.600
KBTN,UNIC,CTAF/UNICOM,122.800
KBTP,A/D,PITTSBURGH APP/DEP,124.750
KBTP,AWOS,AWOS 3,121.450
KBTP,CLD,PITTSBURGH CLNC DEL,119.400
KBTP,CTAF,,123.050
KBTP,RDO,ALTOONA RDO,115.800
KBTP,UNIC,CTAF/UNICOM,123.050
KBTR,A/D,APP/DEP,120.300
KBTR,ATIS,ATIS,125.200
KBTR,CLD,CLNC DEL,119.400
KBTR,CTAF,CTAF,118.450
KBTR,GND,GND,121.900
KBTR,RDO,DE RIDDER RDO,122.200
KBTR,TWR,TWR,118.450
KBTR,UNIC,UNICOM,122.950
KBTV,A/D,APP/DEP,121.100
KBTV,ATIS,ATIS,123.800
KBTV,CTAF,CTAF,118.300
KBTV,GND,GND,121.900
KBTV,MISC,ANG OPS,125.125
KBTV,OPS,ARNG OPS,41.200
KBTV,RDO,RDO,122.200
KBTV,TWR,TWR,118.300
KBTV,UNIC,UNICOM,122.950
KBTY,CTAF,CTAF,122.900
KBTY,RDO,RENO RDO,114.700
KBUB,CNTR,DENVER CNTR,132.700
KBUB,CTAF,CTAF,122.900
KBUF,A/D,Buffalo APP/DEP,126.150
KBUF,ATIS,ATIS,135.350
KBUF,CLD,CLNC DEL,124.700
KBUF,GND,GND,133.200
KBUF,RDO,RDO,122.600
KBUF,TWR,TWR,120.500
KBUM,CNTR,KANSAS CITY CNTR,125.550
KBUM,CTAF,CTAF,122.900
KBUM,RDO,COLUMBIA RDO,115.900
KBUR,A/D,SOCAL APP/DEP,120.400
KBUR,ATIS,ATIS,134.500
KBUR,CLD,CLNC DEL,118.000
KBUR,GND,GND,123.900
KBUR,RDO,HAWTHORNE RDO,122.350
KBUR,TWR,TWR,118.700
KBUR,UNIC,UNICOM,122.950
KBUU,A/D,MILWAUKEE APP/DEP,125.350
KBUU,AWOS,AWOS 3,114.500
KBUU,UNIC,CTAF/UNICOM,123.050
KBUY,A/D,GREENSBORO APP/DEP,118.500
KBUY,ASOS,ASOS,135.325
KBUY,CLD,CLNC DEL,120.250
KBUY,UNIC,CTAF/UNICOM,122.975
KBVI,A/D,PITTSBURGH APP/DEP,124.750
KBVI,ATIS,ATIS,118.350
KBVI,CLD,PITTSBURGH CLNC DEL,124.850
KBVI,CTAF,CTAF,120.300
KBVI,GND,GND,121.800
KBVI,RDO,ALTOONA RDO,115.800
KBVI,TWR,TWR,120.300
KBVN,AWOS,AWOS 3,118.575
KBVN,CNTR,MINNEAPOLIS CNTR,128.000
KBVN,CTAF,CTAF,122.900
KBVO,AAS,ADVSY SVC,120.000
KBVO,ASOS,ASOS,132.675
KBVO,CNTR,KANSAS CITY CNTR,128.800
KBVO,CTAF,CTAF,120.000
KBVO,RDO,MC ALESTER RDO,123.600
KBVO,UNIC,UNICOM,123.000
KBVS,A/D,WHIDBEY APP/DEP,120.700
KBVS,AWOS,AWOS 3,121.125
KBVS,UNIC,CTAF/UNICOM,123.075
KBVX,AWOS,AWOS 3,126.850
KBVX,CNTR,MEMPHIS CNTR,126.850
KBVX,RDO,JONESBORO RDO,122.250
KBVX,UNIC,CTAF/UNICOM,122.800
KBVY,A/D,BOSTON APP/DEP,124.400
KBVY,ATIS,ATIS,119.200
KBVY,CTAF,CTAF,125.200
KBVY,GND,GND,121.600
KBVY,TWR,TWR,125.200
KBVY,UNIC,UNICOM,122.950
KBWC,CNTR,LOS ANGELES CNTR,128.600
KBWC,CTAF,CTAF,122.900
KBWD,AWOS,AWOS 3,118.325
KBWD,CNTR,FORT WORTH CNTR,127.450
KBWD,RDO,FORT WORTH RDO,122.500
KBWD,UNIC,CTAF/UNICOM,122.800
KBWG,ASOS,ASOS,127.825
KBWG,CNTR,MEMPHIS CNTR,133.850
KBWG,RDO,LOUISVILLE RDO,122.200
KBWG,UNIC,CTAF/UNICOM,123.000
KBWI,APP,POTOMAC APP,119.000
KBWI,ATIS,ATIS,115.100
KBWI,CLD,CLNC DEL,118.050
KBWI,DEP,POTOMAC DEP,126.750
KBWI,GND,GND,121.900
KBWI,RDO,LEESBURG RDO,122.200
KBWI,TWR,TWR,119.400
KBWI,UNIC,UNICOM,122.950
KBWP,AWOS,AWOS 3,127.875
KBWP,RDO,GRAND FORKS RDO,122.425
KBWP,UNIC,CTAF/UNICOM,123.000
KBXA,AWOS,AWOS 3,118.025
KBXA,CNTR,HOUSTON CNTR,133.500
KBXA,UNIC,CTAF/UNICOM,122.800
KBXG,A/D,AUGUSTA APP/DEP,126.800
KBXG,CNTR,ATLANTA CNTR,128.100
KBXG,CTAF,CTAF,122.900
KBXK,RDO,PRESCOTT RDO,110.600
KBXK,UNIC,CTAF/UNICOM,122.800
KBXM,A/D,APP/DEP,118.150
KBXM,ATIS,ATIS,120.550
KBXM,CLD,CLNC DEL,134.100
KBXM,GND,GND,134.550
KBXM,OPS,BASE OPS,25.750
KBXM,PMSV,PMSV METRO,26.400
KBXM,TWR,TWR,119.600
KBYG,ASOS,ASOS,135.425
KBYG,RDO,CASPER RDO,122.025
KBYG,UNIC,CTAF/UNICOM,122.800
KBYH,CNTR,MEMPHIS CNTR,134.650
KBYH,UNIC,CTAF/UNICOM,122.700
KBYI,A/D,TWIN FALLS APP/DEP,126.700
KBYI,ASOS,ASOS,135.575
KBYI,CNTR,SALT LAKE CITY CNTR,118.050
KBYI,CTAF,CTAF,122.900
KBYI,RDO,BOISE RDO,122.050
KBYS,A/G,DESERT RDO NORTH,41.650
KBYS,INFO,DESERT RDO ROZ 1,41.500
KBYS,RDO,DESERT RDO SOUTH,41.000
KBYY,AWOS,AWOS 3,118.075
KBYY,CNTR,HOUSTON CNTR,128.600
KBYY,UNIC,CTAF/UNICOM,122.800
KBZN,ATIS,ATIS,135.425
KBZN,CNTR,SALT LAKE CITY CNTR,132.400
KBZN,CTAF,CTAF,118.200
KBZN,GND,GND,121.800
KBZN,RDO,GREAT FALLS RDO,122.500
KBZN,TWR,BOZEMAN TWR,118.200
KBZN,UNIC,UNICOM,122.950
KCAD,AWOS,AWOS 3,128.325
KCAD,CNTR,MINNEAPOLIS CNTR,132.900
KCAD,UNIC,CTAF/UNICOM,122.800
KCAE,A/D,APP/DEP,124.150
KCAE,ATIS,ATIS,120.150
KCAE,CLD,CLNC DEL,119.750
KCAE,GND,GND,121.900
KCAE,RDO,ANDERSON RDO,122.650
KCAE,TWR,TWR,119.500
KCAE,UNIC,UNICOM,122.950
KCAG,ASOS,ASOS,135.425
KCAG,CNTR,DENVER CNTR,120.475
KCAG,UNIC,CTAF/UNICOM,122.800
KCAK,A/D,APP/DEP,118.600
KCAK,A/D,APP/DEP,32.300
KCAK,ATIS,ATIS,121.050
KCAK,CLD,CLNC DEL,132.050
KCAK,GND,GND,121.700
KCAK,OPS,ARNG OPS,41.100
KCAK,RDO,CLEVELAND RDO,114.400
KCAK,TWR,TWR,118.300
KCAK,UNIC,UNICOM,122.950
KCAO,ARTC,ALBUQUERQUE CNTR,127.850
KCAO,ASOS,ASOS,120.625
KCAO,UNIC,CTAF/UNICOM,122.800
KCAR,ASOS,ASOS,135.125
KCAR,CNTR,BOSTON CNTR,124.750
KCAR,RDO,BANGOR RDO,122.300
KCAR,UNIC,CTAF/UNICOM,122.800
KCAV,A/D,MINNEAPOLIS CNTR,134.000
KCAV,AWOS,AWOS 3,126.575
KCAV,FSS,FORT DODGE RDO,122.300
KCAV,UNIC,CTAF/UNICOM,122.800
KCBE,AWOS,AWOS 3,128.625
KCBE,CNTR,CLEVELAND CNTR,124.400
KCBE,RDO,ELKINS RDO,122.350
KCBE,UNIC,CTAF/UNICOM,122.800
KCBF,A/D,OMAHA APP/DEP,124.500
KCBF,AWOS,AWOS 3,126.575
KCBF,UNIC,CTAF/UNICOM,122.800
KCBG,AWOS,AWOS 3,121.125
KCBG,CNTR,MINNEAPOLIS CNTR,121.050
KCBG,UNIC,CTAF/UNICOM,122.800
KCBK,AWOS,AWOS 3,118.175
KCBK,CNTR,DENVER CNTR,132.500
KCBK,UNIC,CTAF/UNICOM,122.800
KCBM,APP,APP,126.075
KCBM,ATIS,ATIS,115.200
KCBM,CLD,CLNC DEL,33.860
KCBM,DEP,DEP,132.050
KCBM,GND,GND,121.900
KCBM,MISC,SOF,25.210
KCBM,PMSV,PMSV METRO,34.460
KCBM,PTD,PTD,37.600
KCBM,TWR,TWR,128.650
KCCB,A/D,SOCAL APP/DEP,125.500
KCCB,UNIC,CTAF/UNICOM,123.000
KCCO,A/D,ATLANTA APP/DEP,119.800
KCCO,AWOS,AWOS 3,118.975
KCCO,CLD,CLNC DEL,119.800
KCCO,UNIC,CTAF/UNICOM,122.800
KCCR,A/D,TRAVIS APP/DEP,119.900
KCCR,ATIS,ATIS,124.700
KCCR,CLD,CLNC DEL,118.750
KCCR,CTAF,CTAF,119.700
KCCR,GND,GND,121.900
KCCR,TWR,CONCORD TWR,119.700
KCCR,UNIC,UNICOM,122.950
KCCY,A/D,WATERLOO APP/DEP,118.900
KCCY,AWOS,AWOS 3,125.525
KCCY,RDO,FORT DODGE RDO,122.400
KCCY,UNIC,CTAF/UNICOM,122.800
KCDA,A/D,BOSTON APP/DEP,125.700
KCDA,AWOS,AWOS 3,119.275
KCDA,UNIC,CTAF/UNICOM,122.800
KCDC,ASOS,ASOS,119.025
KCDC,CTAF,CTAF,123.600
KCDC,RDO,RDO,122.200
KCDC,UNIC,UNICOM,122.950
KCDH,A/D,FORT WORTH CNTR,126.320
KCDH,UNIC,CTAF/UNICOM,122.700
KCDI,AWOS,AWOS 3,118.525
KCDI,CNTR,CLEVELAND CNTR,120.400
KCDI,CNTR,INDIANAPOLIS CNTR,124.450
KCDI,UNIC,CTAF/UNICOM,123.075
KCDN,A/D,SHAW APP/DEP,125.400
KCDN,AWOS,AWOS 3,119.975
KCDN,UNIC,CTAF/UNICOM,123.000
KCDR,ASOS,ASOS,118.050
KCDR,CNTR,DENVER CNTR,127.950
KCDR,FSS,COLUMBUS RDO,122.500
KCDR,UNIC,CTAF/UNICOM,122.800
KCDS,ASOS,ASOS,135.125
KCDS,CNTR,FORT WORTH CNTR,133.500
KCDS,RDO,FORT WORTH RDO,122.450
KCDS,UNIC,CTAF/UNICOM,122.800
KCDW,APP,NEW YORK APP,127.600
KCDW,ATIS,ATIS,135.500
KCDW,CLD,CLNC DEL,121.100
KCDW,CTAF,CTAF,119.800
KCDW,DEP,NEW YORK DEP,119.200
KCDW,GND,GND,121.900
KCDW,TWR,TWR,119.800
KCDW,UNIC,UNICOM,122.950
KCEA,A/D,WICHITA APP/DEP,134.800
KCEA,CLD,WICHITA CLNC DEL,125.000
KCEA,CTAF,CTAF,122.900
KCEA,TWR,MC CONNELL TWR,127.250
KCEC,ASOS,ASOS,119.925
KCEC,CNTR,SEATTLE CNTR,124.850
KCEC,CTAF,CTAF,122.800
KCEC,RDO,OAKLAND RDO,122.300
KCEC,UNIC,UNICOM,122.800
KCEF,A/D,BRADLEY APP/DEP,125.350
KCEF,ATIS,ATIS,114.000
KCEF,GND,GND,118.350
KCEF,PMSV,PMSV METRO,27.475
KCEF,POST,COMD POST 439 AW,25.210
KCEF,PTD,PTD,37.220
KCEF,TWR,TWR,134.850
KCEF,UNIC,UNICOM,123.000
KCEK,A/D,LINCOLN APP/DEP,124.000
KCEK,UNIC,CTAF/UNICOM,122.800
KCEU,A/D,GREER APP/DEP,118.800
KCEU,ASOS,ASOS,119.275
KCEU,UNIC,CTAF/UNICOM,122.700
KCEV,A/D,DAYTON APP/DEP,134.450
KCEV,AWOS,AWOS 3,118.325
KCEV,UNIC,CTAF/UNICOM,122.800
KCEW,A/D,EGLIN APP/DEP,124.050
KCEW,ASOS,ASOS,119.275
KCEW,RDO,GAINESVILLE RDO,122.000
KCEW,UNIC,CTAF/UNICOM,122.950
KCEY,AWOS,AWOS 3,119.975
KCEY,CNTR,MEMPHIS CNTR,133.650
KCEY,UNIC,CTAF/UNICOM,122.700
KCEZ,ASOS,ASOS,135.625
KCEZ,CNTR,DENVER CNTR,118.575
KCEZ,RDO,DENVER RDO,122.300
KCEZ,UNIC,CTAF/UNICOM,122.800
KCFD,CNTR,HOUSTON CNTR,120.400
KCFD,UNIC,CTAF/UNICOM,123.000
KCFE,CTAF,,122.800
KCFJ,A/D,INDIANAPOLIS APP/DEP,119.050
KCFJ,UNIC,CTAF/UNICOM,122.800
KCFS,A/D,SAGINAW APP/DEP,120.950
KCFS,AWOS,AWOS 3,119.275
KCFS,RCO,RCO,121.725
KCFS,UNIC,CTAF/UNICOM,123.000
KCFT,CTAF,CTAF,122.900
KCFV,ASOS,ASOS,121.275
KCFV,CNTR,KANSAS CITY CNTR,132.900
KCFV,UNIC,CTAF/UNICOM,123.000
KCGC,A/D,JACKSONVILLE APP/DEP,118.600
KCGC,AWOS,AWOS 3,118.325
KCGC,UNIC,CTAF/UNICOM,122.725
KCGE,A/D,PATUXENT APP/DEP,127.950
KCGE,AWOS,AWOS 3,120.675
KCGE,UNIC,CTAF/UNICOM,122.700
KCGF,A/D,CLEVELAND APP/DEP,125.350
KCGF,CTAF,CTAF,118.500
KCGF,GCCD,GND/CLNC DEL,121.850
KCGF,TWR,COUNTY TWR,118.500
KCGF,UNIC,UNICOM,122.950
KCGI,ASOS,ASOS,120.550
KCGI,CNTR,MEMPHIS CNTR,133.650
KCGI,CTAF,CTAF,119.000
KCGI,GND,GND,121.600
KCGI,RDO,ST LOUIS RDO,122.400
KCGI,TWR,TWR,119.000
KCGI,UNIC,UNICOM,122.950
KCGS,A/D,POTOMAC APP/DEP,119.850
KCGS,AWOS,AWOS 3,121.225
KCGS,UNIC,CTAF/UNICOM,122.975
KCGZ,AWOS,AWOS 3,132.175
KCGZ,CNTR,ALBUQUERQUE CNTR,125.400
KCGZ,UNIC,CTAF/UNICOM,122.700
KCHA,APP,CHATTANOOGA APP,119.200
KCHA,APP,CHATTANOOGA APP,122.500
KCHA,ATIS,ATIS,119.850
KCHA,CLD,CLNC DEL,120.950
KCHA,CTAF,CTAF,118.300
KCHA,DEP,CHATTANOOGA DEP,119.200
KCHA,GND,GND,121.700
KCHA,OPS,ARNG OPS,41.500
KCHA,TWR,CHATTANOOGA TWR,118.300
KCHA,UNIC,UNICOM,122.950
KCHD,A/D,PHOENIX APP/DEP,123.700
KCHD,ATIS,ATIS,128.325
KCHD,AWOS,AWOS 3,128.325
KCHD,GND,GND,124.400
KCHD,TWR,TWR,126.100
KCHD,UNIC,UNICOM,122.950
KCHK,A/D,OKE CITY APP/DEP,124.600
KCHK,AWOS,AWOS 3,118.175
KCHK,UNIC,CTAF/UNICOM,123.000
KCHN,CNTR,MIAMI CNTR,134.550
KCHN,CTAF,CTAF,122.900
KCHO,A/D,POTOMAC APP/DEP,132.850
KCHO,ASOS,ASOS,118.425
KCHO,ATIS,ATIS,118.425
KCHO,CTAF,CTAF,124.500
KCHO,GND,GND,121.900
KCHO,RDO,LEESBURG RDO,122.200
KCHO,TWR,TWR,124.500
KCHO,UNIC,UNICOM,122.950
KCHQ,CNTR,MEMPHIS CNTR,133.650
KCHQ,CTAF,CTAF,122.900
KCHS,APP,APP,119.300
KCHS,APP,APP,30.692
KCHS,ATIS,ATIS,124.750
KCHS,CLD,CLNC DEL,118.000
KCHS,DEP,DEP,120.700
KCHS,GND,GND,121.900
KCHS,PMSV,PMSV  METRO,34.460
KCHS,POST,CONSOLIDATED COMD,134.100
KCHS,PTD,PTD,37.220
KCHS,RDO,ANDERSON RDO,122.200
KCHS,TWR,TWR,126.000
KCHS,UNIC,UNICOM,122.950
KCHT,AWOS,AWOS 3,118.175
KCHT,CNTR,KANSAS CITY CNTR,125.250
KCHT,RDO,COLUMBIA RDO,122.250
KCHT,UNIC,CTAF/UNICOM,122.800
KCHU,CNTR,MINNEAPOLIS CNTR,128.600
KCHU,CTAF,CTAF,122.900
KCHU,RDO,PRINCETON RDO,122.100
KCIC,AWOS,AWOS 3,119.675
KCIC,CNTR,OAKLAND CNTR,132.200
KCIC,CTAF,CTAF,121.000
KCIC,GND,GND,121.900
KCIC,RDO,RANCHO RDO,109.800
KCIC,TWR,TWR,121.000
KCIC,UNIC,UNICOM,122.950
KCID,A/D,APP/DEP (091-269),119.700
KCID,A/D,APP/DEP  (270-090),134.050
KCID,ATIS,ATIS,124.150
KCID,CLD,CLNC DEL,125.450
KCID,CTAF,CTAF,118.700
KCID,GND,GND,121.600
KCID,RDO,FORT DODGE RDO,122.550
KCID,TWR,TWR,118.700
KCID,UNIC,UNICOM,122.950
KCII,CNTR,SALT LAKE CITY CNTR,133.400
KCII,FSS,GREAT FALLS RDO,122.600
KCII,UNIC,CTAF/UNICOM,122.800
KCIN,AWOS,AWOS 3,118.025
KCIN,CNTR,MINNEAPOLIS CNTR,134.000
KCIN,UNIC,CTAF/UNICOM,122.800
KCIR,AWOS,AWOS 3,118.025
KCIR,CNTR,MEMPHIS CNTR,133.650
KCIR,UNIC,CTAF/UNICOM,122.800
KCIU,AWOS,AWOS 3,127.575
KCIU,CNTR,TORONTO CNTR,132.650
KCIU,RDO,GREEN BAY RDO,123.650
KCIU,UNIC,CTAF/UNICOM,123.000
KCJR,A/D,POTOMAC APP/DEP,124.650
KCJR,AWOS,AWOS 3,120.025
KCJR,RCO,LEESBURG RDO,116.300
KCJR,UNIC,CTAF/UNICOM,123.075
KCKA,MISC,DOGFACE,38.625
KCKB,A/D,CLARKSBURG APP/DEP,119.600
KCKB,ATIS,ATIS,127.825
KCKB,CTAF,CTAF,126.700
KCKB,GND,GND,121.900
KCKB,OPS,ARNG OPS,139.050
KCKB,RDO,ELKINS RDO,112.600
KCKB,TWR,CLARKSBURG TWR,126.700
KCKB,UNIC,UNICOM,123.000
KCKC,AWOS,AWOS 3,119.925
KCKC,RDO,PRINCETON RDO,122.300
KCKC,UNIC,CTAF/UNICOM,122.800
KCKF,AWOS,AWOS 3,119.325
KCKF,CNTR,JACKSONVILLE CNTR,125.750
KCKF,UNIC,CTAF/UNICOM,123.050
KCKI,A/D,MYRTLE BEACH APP/DEP,127.400
KCKI,UNIC,CTAF/UNICOM,122.700
KCKM,AWOS,AWOS 3,120.675
KCKM,CNTR,MEMPHIS CNTR,135.300
KCKM,UNIC,CTAF/UNICOM,122.800
KCKN,A/D,GRAND FORKS APP/DEP,118.100
KCKN,AWOS,AWOS 3,40.000
KCKN,CLD,CLNC DEL,118.150
KCKN,UNIC,CTAF/UNICOM,122.700
KCKP,AWOS,AWOS 3,119.225
KCKP,CNTR,MINNEAPOLIS CNTR,124.100
KCKP,UNIC,CTAF/UNICOM,122.800
KCKV,A/D,CAMPBELL APP/DEP,134.350
KCKV,ASOS,ASOS,134.575
KCKV,UNIC,CTAF/UNICOM,122.800
KCKZ,A/D,PHILADELPHIA APP/DEP,123.800
KCKZ,AWOS,AWOS 3,108.850
KCKZ,CLD,CLNC DEL,118.550
