ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
AAXX,small_airport,Aeródromo de Punto Rothera,Rothera Point,AQ,AQ-U-A,,,-67.5669,-68.1270
AGAF,small_airport,Afutara Aerodrome,Bila,SB,SB-ML,AFT,23,-9.1914,160.9486
AGAR,small_airport,Ulawa Airport,Arona,SB,SB-MK,RNA,40,-9.8605,161.9795
AGAT,small_airport,Uru Harbour Airport,Atoifi,SB,SB-ML,ATD,,-8.8733,161.0110
AGBA,small_airport,Barakoma Airport,Barakoma,SB,SB-WE,VEV,,-7.9128,156.7060
AGBT,small_airport,Batuna Aerodrome,Batuna Mission Station,SB,SB-WE,BPF,24,-8.5620,158.1193
AGEV,small_airport,Geva Airport,Liangia,SB,SB-WE,GEF,,-7.5758,156.5970
AGGA,small_airport,Gwaunaru'u Airport,Auki,SB,SB-ML,AKS,5,-8.7026,160.6820
AGGB,small_airport,Bellona/Anua Airport,Anua,SB,SB-RB,BNY,60,-11.3022,159.7983
AGGC,small_airport,Choiseul Bay Airport,Choiseul Bay,SB,SB-CH,CHY,,-6.7119,156.3961
AGGE,small_airport,Ballalae Airport,Ballalae,SB,SB-WE,BAS,5,-6.9907,155.8867
AGGF,small_airport,Fera/Maringe Airport,Fera Island,SB,SB-IS,FRE,,-8.1075,159.5770
AGGH,large_airport,Honiara International Airport,Honiara,SB,SB-GU,HIR,28,-9.4280,160.0550
AGGI,small_airport,Babanakira Airport,Mbambanakira,SB,SB-GU,MBU,,-9.7475,159.8390
AGGJ,small_airport,Avu Avu Airport,Avu Avu,SB,SB-GU,AVU,25,-9.8683,160.4106
AGGK,small_airport,Ngorangora Airport,Kirakira,SB,SB-MK,IRA,54,-10.4497,161.8980
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,SB-TE,SCZ,18,-10.7203,165.7950
AGGM,medium_airport,Munda Airport,Munda,SB,SB-WE,MUA,10,-8.3280,157.2630
AGGN,small_airport,Nusatupe Airport,Gizo,SB,SB-WE,GZO,13,-8.0978,156.8640
AGGO,small_airport,Mono Airport,Stirling Island,SB,SB-WE,MNY,,-7.4169,155.5650
AGGP,small_airport,Parasi Airport,Parasi,SB,SB-ML,PRS,,-9.6417,161.4250
AGGR,small_airport,Rennell/Tingoa Airport,Rennell Island,SB,SB-RB,RNL,,-11.5500,160.0628
AGGS,small_airport,Sege Airport,Sege,SB,SB-WE,EGM,,-8.5789,157.8760
AGGT,small_airport,Santa Ana Airport,Santa Ana Island,SB,SB-MK,NNB,3,-10.8480,162.4541
AGGU,small_airport,Marau Airport,Marau,SB,SB-GU,RUS,,-9.8617,160.8250
AGGV,small_airport,Suavanao Airport,Suavanao,SB,SB-IS,VAO,,-7.5856,158.7310
AGGY,small_airport,Yandina Airport,Yandina,SB,SB-CE,XYA,60,-9.0928,159.2184
AGIN,heliport,Isuna Heliport,Veravaulo,SB,SB-GU,,26,-9.8058,159.9627
AGKG,small_airport,Kaghau Airport,Kagau Island,SB,SB-CH,KGE,30,-7.3305,157.5850
AGKU,small_airport,Kukudu Airport,Kolombangara Island,SB,SB-WE,KUE,32,-8.0262,156.9478
AGKW,small_airport,Kwailabesi Airport,Kwailabesi,SB,SB-ML,KWS,52,-8.3605,160.7751
AGLM,small_airport,Lomlom Airport,Lomlom,SB,SB-TE,LLM,55,-10.2968,166.3273
AGNA,small_airport,Nana Airport,Star Harbor,SB,SB-MK,NAZ,60,-10.6758,162.2049
AGOB,small_airport,Manaoba Airport,Manaoba,SB,SB-ML,MHM,14,-8.3250,160.8005
AGOK,small_airport,Gatokae Aerodrome,Gatokae,SB,SB-WE,GTA,70,-8.7384,158.2028
AGRC,small_airport,Ringi Cove Airport,Ringi Cove,SB,SB-WE,RIN,,-8.1264,157.1430
AGRM,small_airport,Ramata Airport,Ramata,SB,SB-WE,RBV,,-8.1681,157.6430
AGTI,heliport,Tulaghi Heliport,Tulaghi Island,SB,SB-CE,TLG,3,-9.1080,160.1492
ANYN,medium_airport,Nauru International Airport,Yaren District,NR,NR-14,INU,22,-0.5475,166.9190
AQBC,medium_airport,Boulder Clay Runway,Zucchelli Station,AQ,AQ-U-A,,672,-74.7394,164.0354
ATUA,small_airport,Utai Airstrip,Utai,PG,PG-SAN,,707,-3.3860,141.5868
AYAA,small_airport,Ama Airport,,PG,PG-ESW,AMF,145,-4.1011,141.6700
AYAE,small_airport,Mount Aue Airport,Aue,PG,PG-JWK,UAE,4250,-6.2300,144.6642
AYAF,small_airport,Afore Airstrip,Afore,PG,PG-NPP,AFR,2500,-9.1387,148.3907
AYAG,small_airport,Agaun Airport,Agaun,PG,PG-MBA,AUP,3200,-9.9277,149.3900
AYAI,small_airport,Aitape Airport,Aitape,PG,PG-SAN,ATP,10,-3.1436,142.3468
AYAK,small_airport,Aiambak Airport,Aiambak,PG,PG-WPD,AIH,90,-7.3428,141.2675
AYAM,small_airport,Amanab Airport,Amanab,PG,PG-SAN,AMU,1307,-3.5860,141.2143
AYAN,small_airport,Andakombe Airport,Andekombe,PG,PG-EHG,ADC,3600,-7.1372,145.7447
AYAO,small_airport,Aiome Airport,Aiome,PG,PG-MPM,AIE,350,-5.1457,144.7307
AYAQ,small_airport,Kompiam Airport,,PG,PG-EPW,KPM,5100,-5.3817,143.9247
AYAT,small_airport,Ambunti Airport,Ambunti,PG,PG-ESW,AUJ,50,-4.2157,142.8232
AYAU,small_airport,Arou Airstrip,Arou,PG,PG-HLA,,4830,-5.4951,142.5137
AYAW,small_airport,Awaba Airport,Awaba,PG,PG-WPD,AWB,32,-8.0134,142.7521
AYAX,small_airport,Aseki Airport,Aseki,PG,PG-MPL,AEK,4106,-7.3508,146.1940
AYAY,small_airport,Aiyura Airport,Aiyura Valley,PG,PG-EHG,AYU,5355,-6.3381,145.9042
AYBA,medium_airport,Baimuru Airport,Baimuru,PG,PG-GPK,VMU,27,-7.4969,144.8199
AYBB,small_airport,Bak Airstrip,Bak,PG,PG-SAN,,5440,-5.2685,142.0970
AYBC,small_airport,Bambu Airport,Bambu,PG,PG-MPM,BCP,6790,-5.8636,146.4925
AYBD,small_airport,Bodinumu Airport,Bodinumu,PG,PG-CPM,BNM,3700,-9.1078,147.6667
AYBF,small_airport,Bamu Airport,Bamu,PG,PG-WPD,BMZ,50,-7.8485,143.2433
AYBG,small_airport,Baindoung Airport,,PG,PG-MPL,BDZ,4400,-6.3472,146.9422
AYBH,small_airport,Bensbach Airport,Bensbach,PG,PG-WPD,BSP,30,-8.8581,141.2594
AYBI,small_airport,Bewani Airport,Bewani,PG,PG-SAN,BWP,550,-3.0217,141.1653
AYBK,medium_airport,Buka Airport,Buka Island,PG,PG-NSB,BUA,11,-5.4223,154.6730
AYBL,small_airport,Bialla Airport,"Bialla, Matalilu, Ewase",PG,PG-WBK,BAA,51,-5.3306,151.0080
AYBM,medium_airport,Balimo Airport,Balimo,PG,PG-WPD,OPU,51,-8.0500,142.9330
AYBO,small_airport,Bomai Airport,Bomai,PG,PG-CPK,BMH,3300,-6.3732,144.6370
AYBP,small_airport,Bapi Airstrip,Bapi,PG,PG-MPL,BPD,2930,-7.7436,147.0206
AYBQ,small_airport,Biangabip Airport,Biangabip,PG,PG-WPD,BPK,1069,-5.5264,141.7446
AYBR,small_airport,Biaru Airport,Biaru,PG,PG-MPL,BRP,4900,-7.6693,146.7594
AYBS,small_airport,Begesin Airstrip,Begesin,PG,PG-MPM,,980,-5.3889,145.4472
AYBT,small_airport,Batri Airstrip,Batri,PG,PG-SHM,,4510,-6.5522,143.9441
AYBU,small_airport,Bulolo Airport,Bulolo,PG,PG-MPL,BUL,2240,-7.2163,146.6495
AYBW,small_airport,Blackwara Airport,,PG,PG-SAN,,58,-2.6182,141.0920
AYBX,small_airport,Wowobo Airstrip,Wowobo,PG,PG-GPK,,74,-7.3405,144.5477
AYBY,small_airport,Wuyabo Airstrip,Wuyabo,PG,PG-EHG,,6400,-6.8378,145.8732
AYBZ,small_airport,Biniguni Airport,Biniguni,PG,PG-MBA,XBN,215,-9.6425,149.3039
AYCB,small_airport,Chungribu Airport,Chungribu,PG,PG-MPM,CVB,108,-4.8066,144.7150
AYCG,small_airport,Cape Gloucester Airport,Cape Gloucester,PG,PG-WBK,CGC,78,-5.4552,148.4223
AYCH,medium_airport,Chimbu Airport,Kundiawa,PG,PG-CPK,CMU,4974,-6.0243,144.9710
AYCN,small_airport,Changriwa Airstrip,Changriwa,PG,PG-ESW,,100,-4.3287,143.7406
AYCS,small_airport,China Strait Airstrip,Samarai Island,PG,PG-MBA,SQT,10,-10.5628,150.6907
AYDB,small_airport,Debepare Airport,Debepare,PG,PG-WPD,DBP,360,-6.3086,141.9056
AYDD,small_airport,Dobu Airstrip,Dobu,PG,PG-CPK,,3115,-6.6305,144.6383
AYDE,small_airport,Derim Airport,Derim,PG,PG-MPL,DER,4850,-6.1447,147.1072
AYDI,small_airport,Bundi Airport,Bundi,PG,PG-MPM,BNT,4400,-5.7422,145.2275
AYDK,small_airport,Munduku Airport,Munduku,PG,PG-ESW,MDM,100,-4.6204,143.4516
AYDL,small_airport,Kondobol Airport,Kondobol,PG,PG-WPD,KPF,132,-8.5336,142.5049
AYDN,small_airport,Dinangat Airport,Dinangat,PG,PG-MPL,DNU,5309,-6.1546,146.6772
AYDO,small_airport,Doini Airport,Castori Islets,PG,PG-MBA,DOI,31,-10.7009,150.7218
AYDP,small_airport,Tsendiap Airstrip,Tsendiap,PG,PG-JWK,,1565,-5.3599,144.4462
AYDQ,small_airport,Dimisisi Airstrip,Dimisisi,PG,PG-WPD,,166,-8.6298,142.2162
AYDR,small_airport,Dorobisoro Airport,Dorobisoro,PG,PG-CPM,DOO,1767,-9.4619,147.9209
AYDS,small_airport,Dusin Airport,Dusin,PG,PG-MPM,,6300,-5.1841,144.4120
AYDU,medium_airport,Daru Airport,Daru,PG,PG-WPD,DAU,20,-9.0868,143.2080
AYDW,small_airport,Dewara Airstrip,Dewara,PG,PG-WPD,,25,-8.3802,142.4475
AYDY,small_airport,Sindeni Airstrip,Sindeni,PG,PG-EHG,,5710,-7.0077,145.7965
AYEA,small_airport,Kerau Airport,Gunim,PG,PG-CPM,KRU,7360,-8.2716,147.0719
AYEB,small_airport,Embessa Airport,Embessa,PG,PG-NPP,EMS,131,-9.4470,148.7628
AYED,small_airport,Edwaki Airport,Yellow River Mission,PG,PG-SAN,XYR,190,-3.8840,141.7922
AYEE,small_airport,Emirau Airport,Emirau Island,PG,PG-NIK,EMI,172,-1.6539,149.9758
AYEF,small_airport,Efogi Airport,Efogi,PG,PG-CPM,EFG,3900,-9.1538,147.6598
AYEG,small_airport,Mengina Airstrip,Mengina,PG,PG-CPK,,4224,-6.4836,144.9860
AYEH,small_airport,Morehead Airport,Morehead,PG,PG-WPD,MHY,100,-8.7141,141.6444
AYEI,small_airport,Milei Airstrip,Milei,PG,PG-CPM,,2160,-9.0794,147.6020
AYEK,small_airport,Membok Airstrip,Membok,PG,PG-WPD,,54,-6.4744,141.0190
AYEL,small_airport,Eliptamin Airport,Eliptamin,PG,PG-SAN,EPT,4825,-5.0412,141.6779
AYEM,small_airport,Eleme Airstrip,Eleme,PG,PG-ESW,,233,-4.8141,143.9103
AYEN,small_airport,Engati Airstrip,Engati,PG,PG-MPL,EGA,3715,-6.9179,146.1053
AYEO,small_airport,Emo River Airstrip,Emo Mission,PG,PG-NPP,EMO,2240,-9.1234,148.0415
AYER,small_airport,Erume Airport,Erume,PG,PG-CPM,ERU,6690,-8.2538,146.9747
AYES,small_airport,Meselia Airport,Demgulu,PG,PG-WBK,MFZ,180,-6.1364,149.1183
AYET,small_airport,Bosset Airport,Bosset,PG,PG-WPD,BOT,80,-7.2373,141.1063
AYEU,small_airport,Eloaua Airstrip,Eloaua Island,PG,PG-NIK,,25,-1.5601,149.6318
AYEV,small_airport,Erave Airport,Erave,PG,PG-SHM,ERE,3650,-6.6065,143.9002
AYEW,small_airport,Siwea Airport,Siwea,PG,PG-MPL,SWE,5960,-6.2842,147.5824
AYEY,small_airport,Mirsey Airstrip,Mirsey,PG,PG-ESW,,107,-4.0621,142.6609
AYEZ,small_airport,Moropote Airstrip,Moropote,PG,PG-ESW,,149,-4.5871,142.3357
AYFA,small_airport,Fane Airport,Fane Mission,PG,PG-CPM,FNE,4500,-8.5493,147.0858
AYFE,small_airport,Feramin Airport,Feramin,PG,PG-SAN,FRQ,4655,-5.2080,141.6988
AYFF,small_airport,Faia Airport,,PG,PG-GPK,,80,-7.1604,143.5313
AYFI,small_airport,Finschhafen Airport,Buki,PG,PG-MPL,FIN,60,-6.6218,147.8541
AYFK,small_airport,Foroko Airstrip,Foroko,PG,PG-MPM,,412,-5.3283,144.8944
AYFO,small_airport,Fogomaiu Airstrip,Fogomaiu,PG,PG-SHM,,737,-6.5096,143.0794
AYFR,small_airport,Frieda River Airport,Frieda River,PG,PG-ESW,FAQ,217,-4.6105,141.9601
AYFS,small_airport,Fas Airstrip,Fugari,PG,PG-SAN,,1219,-3.1983,141.4720
AYFU,small_airport,Fuma Airport,Fuma,PG,PG-WPD,FUM,466,-6.3933,142.4408
AYFW,small_airport,Kwieftim Airstrip,Kwieftim,PG,PG-SAN,,515,-3.6005,141.7674
AYGA,medium_airport,Goroka Airport,Goronka,PG,PG-EHG,GKA,5282,-6.0817,145.3920
AYGC,small_airport,Gewoia Airport,Gewoia,PG,PG-NPP,GEW,340,-9.2263,148.4949
AYGD,small_airport,Gimi Airstrip,Amusa,PG,PG-EHG,,5096,-6.6482,145.4003
AYGE,small_airport,Geigorobi Airstrip,Geigorobi,PG,PG-ESW,,74,-4.1055,143.3056
AYGF,small_airport,Guari Airport,Guari,PG,PG-CPM,GUG,6450,-8.1286,146.8722
AYGG,small_airport,Garasa Airport,Au,PG,PG-MPL,GRL,2539,-7.9807,147.2135
AYGH,small_airport,Guhu Airstrip,Guhu,PG,PG-MPM,,3,-5.6957,146.1116
AYGI,small_airport,Garaina Airport,Garaina,PG,PG-MPL,GAR,2497,-7.8756,147.1413
AYGJ,small_airport,Guasopa Airport,Woodlark (Muyua) Island,PG,PG-MBA,GAZ,10,-9.2259,152.9444
AYGL,small_airport,Gonaili Airport,Gonaili,PG,PG-EBR,GOE,40,-5.5277,151.5733
AYGM,small_airport,Gema Airstrip,Gema,PG,PG-EHG,,5370,-6.8031,145.7759
AYGN,medium_airport,Gurney Airport,Gurney,PG,PG-MBA,GUR,88,-10.3115,150.3340
AYGO,small_airport,Gokto Airstrip,Gokto,PG,PG-MPM,,259,-4.9136,144.4900
AYGP,small_airport,Gusap Airport,Gusap,PG,PG-MPL,GAP,1504,-6.0532,145.9590
AYGQ,small_airport,Gawa Airstrip,Gawa,PG,PG-SAN,,6500,-5.2590,142.2330
AYGR,medium_airport,Girua Airport,Popondetta,PG,PG-NPP,PNP,311,-8.8045,148.3090
AYGS,small_airport,Gasuke Airport,Gasuke,PG,PG-WPD,GBC,157,-6.1028,141.7393
AYGT,small_airport,Gasmata Island Airport,Gasmata Island,PG,PG-WBK,GMI,23,-6.2711,150.3310
AYGU,small_airport,Anguganak Airport,Anguganak,PG,PG-SAN,AKG,937,-3.5605,142.2173
AYGV,small_airport,Green River Airport,Green River,PG,PG-SAN,GVI,281,-3.9022,141.1705
AYGW,small_airport,Guwasa Airport,Guwasa,PG,PG-EHG,,4800,-6.4658,145.0840
AYGX,small_airport,Gora Airstrip,Gora,PG,PG-NPP,GOC,2497,-9.0021,148.2364
AYGY,small_airport,Guavi Airstrip,Guavi,PG,PG-WPD,,303,-6.8700,142.7537
AYHA,small_airport,Haia Airport,,PG,PG-CPK,,2434,-6.7074,144.9974
AYHB,small_airport,Habi Airport,Habi,PG,PG-WPD,HBD,993,-6.3200,142.4893
AYHE,small_airport,Heiweni Airport,Heiweni,PG,PG-MPL,HNI,3480,-7.4223,146.4276
AYHF,small_airport,Hayfields Airport,Bainyik,PG,PG-ESW,HYF,466,-3.6984,143.0579
AYHH,small_airport,Honinabi Airport,Honinabi,PG,PG-WPD,HNN,452,-6.2457,142.1771
AYHJ,small_airport,Hewa Airstrip,Hewa,PG,PG-EPW,,5000,-5.1914,142.9595
AYHK,medium_airport,Hoskins Airport,Kimbe,PG,PG-WBK,HKN,66,-5.4638,150.4073
AYHL,small_airport,Hesalibi Airstrip,Hesalibi,PG,PG-WPD,,305,-6.6000,142.3502
AYHN,small_airport,Habina Airstrip,Habina,PG,PG-EHG,,6200,-6.6671,146.0000
AYHO,small_airport,Haivaro Airport,Haivaro,PG,PG-GPK,HIT,180,-6.9406,143.0590
AYHQ,small_airport,Hauna Airstrip,Hauna,PG,PG-ESW,,73,-4.2994,142.2305
AYHT,small_airport,Hotmin Airstrip,Hotmin Mission,PG,PG-ESW,,196,-4.5845,141.5742
AYHU,small_airport,Hawabango Airport,Hawabango,PG,PG-GPK,HWA,4563,-7.3930,146.0035
AYHW,small_airport,Haewenai Airstrip,Haewenai,PG,PG-WPD,,220,-5.7219,141.3205
AYHX,small_airport,Herowena Airstrip,Herowana,PG,PG-EHG,,4695,-6.6229,145.1972
AYHY,small_airport,Huya Airstrip,Huya,PG,PG-HLA,,2611,-6.2734,142.7061
AYIA,small_airport,Nissan Island Airport,Nissan Island,PG,PG-NSB,IIS,52,-4.4997,154.2260
AYIB,small_airport,Ibil Airstrip,Ibil,PG,PG-SAN,,870,-4.6828,141.0316
AYID,small_airport,Indagen Airport,Indagen,PG,PG-MPL,IDN,5788,-6.2266,147.2440
AYII,small_airport,Imane Airport,Imane,PG,PG-MPL,IMN,3860,-6.7524,146.1072
AYIM,small_airport,Kungim Airport,Kungim,PG,PG-WPD,KGM,349,-5.6710,141.0300
AYIN,small_airport,Busilmin Airstrip,Busilmin,PG,PG-SAN,,5450,-4.9166,141.1548
AYIO,small_airport,Imonda Airport,Imonda,PG,PG-SAN,IMD,990,-3.3280,141.1573
AYIP,small_airport,Iropena Airstrip,Iropena,PG,PG-EPW,,5190,-5.0326,143.8711
AYIQ,small_airport,Aropa Airport,Kieta,PG,PG-NSB,KIE,20,-6.3054,155.7281
AYIR,small_airport,Inaru Airstrip,Inaru,PG,PG-ESW,,178,-4.6316,142.8913
AYIS,small_airport,Isan Airstrip,Isan,PG,PG-MPL,,6955,-5.9781,146.6198
AYIT,small_airport,Iteri Airstrip,Iteri,PG,PG-ESW,,242,-4.2418,141.5234
AYIU,small_airport,Ialibu Airport,Ialibu,PG,PG-SHM,IAL,6736,-6.2782,143.9944
AYIW,small_airport,Wasua Airport,Wasua,PG,PG-WPD,WSA,45,-8.2836,142.8697
AYIX,small_airport,Witu Airport,Garove Island,PG,PG-WBK,WIU,25,-4.6895,149.4401
AYIY,small_airport,Miyanmin Airport,Miyanmin,PG,PG-SAN,MPX,2500,-4.9031,141.6208
AYJE,small_airport,Yomneri Airstrip,Yomneri,PG,PG-MPM,,6100,-5.2370,144.6007
AYJO,small_airport,Yongai Airport,Yongai,PG,PG-CPM,KGH,6500,-8.5289,147.4603
AYJS,small_airport,Josephstaal Airport,Josephstaal,PG,PG-MPM,JOP,250,-4.7471,145.0071
AYJW,small_airport,Wauru Airstrip,,PG,PG-SAN,,200,-4.1820,141.1983
AYKA,small_airport,Losuia Airport,Losuia,PG,PG-MBA,LSA,27,-8.5058,151.0810
AYKB,small_airport,Kabwum,,PG,PG-MPL,KBM,4450,-6.1555,147.1915
AYKC,small_airport,Kandrian Airport,Kandrian,PG,PG-WBK,KDR,280,-6.1922,149.5478
AYKD,small_airport,Kamina Airport,Hoieti,PG,PG-GPK,KMF,2157,-7.6493,145.9569
AYKG,small_airport,Kopiago Airport,Kopiago,PG,PG-HLA,KPA,4445,-5.3883,142.4977
AYKH,small_airport,Kamulai Airport,Kamulai Mission,PG,PG-CPM,KAQ,5800,-8.1507,146.8340
AYKI,small_airport,Kiunga Airport,Kiunga,PG,PG-WPD,UNG,88,-6.1257,141.2820
AYKJ,small_airport,Kanainj Airport,Kanainj,PG,PG-MPM,KNE,4064,-5.2903,144.7072
AYKK,small_airport,Kikori Airport,Kikori,PG,PG-GPK,KRI,50,-7.4244,144.2501
AYKL,small_airport,Kafle Airstrip,Kafle,PG,PG-SAN,,850,-3.7500,142.5900
AYKM,medium_airport,Kerema Airport,Kerema,PG,PG-GPK,KMA,10,-7.9636,145.7710
AYKN,small_airport,Kubuna Airstrip,Kubuna Mission,PG,PG-CPM,,200,-8.6917,146.7566
AYKO,small_airport,Kokoda Airport,Kokoda,PG,PG-NPP,KKD,1240,-8.8847,147.7310
AYKQ,small_airport,Kagi Airport,Kagi,PG,PG-CPM,KGW,4200,-9.1359,147.6694
AYKR,small_airport,Kar Kar Airport,Kar Kar Island,PG,PG-MPM,KRX,130,-4.5570,145.9404
AYKT,small_airport,Kaintiba Airport,Kaintiba,PG,PG-GPK,KZF,2050,-7.5003,146.0338
AYKU,small_airport,Kuri Airport,Kuri,PG,PG-GPK,KUQ,35,-7.1351,143.2761
AYKV,medium_airport,Kavieng Airport,Kavieng,PG,PG-NIK,KVG,7,-2.5794,150.8080
AYKW,small_airport,Kawito Airport,Kawito,PG,PG-WPD,KWO,72,-7.9770,142.8236
AYKY,small_airport,Londolovit Airport,Londolovit,PG,PG-NIK,LNV,167,-3.0436,152.6290
AYKZ,small_airport,Kairiru Airstrip,Kairiru Island,PG,PG-ESW,,60,-3.3687,143.5546
AYLB,small_airport,Lab Lab Airport,Lab Lab Mission,PG,PG-MPL,LAB,160,-5.7204,148.0566
AYLC,small_airport,Lake Campbell Airstrip,Lake Campbell,PG,PG-WPD,,585,-6.7486,142.6037
AYLE,small_airport,Lele Airstrip,Leli,PG,PG-EBR,,1600,-5.2192,151.3938
AYLG,small_airport,Keglsugl Airport,Denglagu Mission,PG,PG-CPK,KEG,8400,-5.8328,145.0972
AYLH,small_airport,Klauhau Airstrip,Klauhau,PG,PG-ESW,,130,-4.1305,142.2495
AYLI,small_airport,Kibuli Airstrip,Kibuli,PG,PG-WPD,KII,54,-9.0065,142.6981
AYLJ,small_airport,Lamogai Airstrip,Maravo,PG,PG-WBK,,493,-5.8190,149.3053
AYLL,small_airport,Linga Linga Airport,Linga Linga,PG,PG-WBK,LGN,17,-5.5319,149.7342
AYLN,small_airport,Langimar Airport,,PG,PG-MPL,LNM,5127,-7.2231,146.2271
AYLO,small_airport,Lowai Airport,Lowai,PG,PG-MPL,LWI,2900,-6.3344,146.6458
AYLP,small_airport,Leron Plains Airport,Leron Plains,PG,PG-MPL,LPN,680,-6.3917,146.3434
AYLQ,small_airport,Lagoon Airstrip,Lagoon,PG,PG-WPD,,100,-8.8186,143.1317
AYLS,small_airport,Lese Airport,Lese,PG,PG-GPK,LNG,40,-8.2799,146.2765
AYLT,small_airport,Lengbati Airport,,PG,PG-MPL,LNC,5750,-6.3846,147.3686
AYLU,small_airport,Lumi Airport,Lumi,PG,PG-SAN,LMI,1750,-3.4768,142.0413
AYLX,small_airport,Long Island Airport,Long Island,PG,PG-MPM,LSJ,116,-5.3604,147.0177
AYLY,small_airport,Myola Airstrip,Myola,PG,PG-NPP,,6735,-9.1516,147.7623
AYLZ,small_airport,Slai Airstrip,Slai,PG,PG-ESW,,77,-4.0322,143.1831
AYMA,small_airport,Manari Airport,Manari,PG,PG-CPM,MRM,2630,-9.1908,147.6219
AYMB,small_airport,Morobe Airport,Morobe,PG,PG-MPL,OBM,8,-7.7400,147.5900
AYMC,small_airport,Menyamya Airport,Menyamya,PG,PG-MPL,MYX,3880,-7.2117,146.0194
AYMD,medium_airport,Madang Airport,Madang,PG,PG-MPM,MAG,20,-5.2071,145.7890
AYMF,small_airport,Maimafu Airstrip,Runakuma,PG,PG-EHG,,5213,-6.5032,145.0327
AYMG,small_airport,Magleri Airstrip,Magleri,PG,PG-SAN,,100,-4.0521,141.9863
AYMH,medium_airport,Mount Hagen Kagamuga Airport,Mount Hagen,PG,PG-WHM,HGU,5388,-5.8282,144.2994
AYMI,small_airport,Mindik Airport,Mindik,PG,PG-MPL,MXK,4200,-6.4717,147.4411
AYMJ,small_airport,Makini Airport,Makini,PG,PG-MPL,MPG,2530,-6.5322,147.6512
AYMK,small_airport,Mok Airport,Mok,PG,PG-WBK,,1050,-5.7302,149.0566
AYML,small_airport,Mougulu Airport,Mougulu,PG,PG-WPD,GUV,825,-6.2809,142.4208
AYMN,medium_airport,Mendi Airport,Mendi,PG,PG-SHM,MDU,5680,-6.1477,143.6570
AYMO,medium_airport,Momote Airport,Manus Island,PG,PG-MRL,MAS,12,-2.0619,147.4240
AYMP,small_airport,Malalaua Airport,Malalaua,PG,PG-GPK,MLQ,20,-8.0714,146.1555
AYMQ,small_airport,Malam Airport,Malam,PG,PG-WPD,MQO,126,-8.7092,142.6497
AYMR,small_airport,Moro Airport,Moro,PG,PG-SHM,MXH,2740,-6.3633,143.2380
AYMS,small_airport,Misima Island Airport,Misima Island,PG,PG-MBA,MIS,26,-10.6892,152.8380
AYMU,small_airport,Muluma Airstrip,,PG,PG-SHM,,2000,-6.4265,142.7675
AYMV,small_airport,Malekolon Airport,Babase Island,PG,PG-NIK,MKN,5,-4.0234,153.6573
AYMW,small_airport,Marawaka Airport,Marawaka,PG,PG-EHG,MWG,6050,-6.9736,145.8849
AYMX,small_airport,Mamusi Airstrip,Mamusi,PG,PG-EPW,,1020,-5.1969,144.1918
AYMY,small_airport,Smok Airstrip,Smok,PG,PG-SAN,,729,-3.3158,141.2461
AYMZ,small_airport,Mapua(Mabua) Airport,Tatau Island,PG,PG-NIK,MPU,40,-2.8114,151.9911
AYNA,small_airport,Nankina Airport,Gwarawon,PG,PG-MPM,NKN,5800,-5.8370,146.4533
AYNB,small_airport,Kanabea Airport,Kanabea,PG,PG-GPK,KEX,4288,-7.5389,145.9050
AYNC,small_airport,Nadunumu Airport,Nadunumu,PG,PG-CPM,NDN,5100,-9.1436,147.6843
AYND,small_airport,Aua Island Airport,Aua Island,PG,PG-MRL,AUI,4,-1.4606,143.0647
AYNE,small_airport,Negarbo(Negabo) Airport,Negarbo,PG,PG-CPK,GBF,4500,-6.5678,144.7031
AYNF,small_airport,Nagri Airport,Nagri,PG,PG-ESW,,150,-4.0916,142.5929
AYNG,small_airport,Manguna Airport,Manguna,PG,PG-EBR,MFO,187,-5.5778,151.7923
AYNH,small_airport,Nahu Airstrip,Gumbarami,PG,PG-MPM,,6520,-5.8427,146.1126
AYNI,small_airport,Nuguria Airstrip,Nuguria Island,PG,PG-NSB,NUG,30,-3.4075,154.7383
AYNJ,small_airport,Namudi Airport,Namudi,PG,PG-NPP,NDI,1044,-9.4738,148.3294
AYNM,small_airport,Kasonombe Airport,Kasonombe,PG,PG-MPL,KSB,5800,-6.3819,146.9859
AYNN,small_airport,Kandep Airport,Kandep,PG,PG-EPW,KDP,7710,-5.8406,143.5072
AYNO,small_airport,Nomane Airport,Namane,PG,PG-CPK,NMN,6032,-6.3218,145.0707
AYNP,small_airport,Momonup Airstrip,Momonup,PG,PG-ESW,,72,-4.5043,144.2315
AYNS,small_airport,Bunsil Airport,Bunsil - Umboi Island,PG,PG-MPL,BXZ,201,-5.7243,147.8667
AYNT,small_airport,Kantobo Airstrip,Kantobo,PG,PG-SHM,,1385,-6.7227,143.5636
AYNU,small_airport,Nuku Airport,Nuku,PG,PG-SAN,UKU,870,-3.6767,142.4843
AYNX,small_airport,Namatanai Airport,Namatanai,PG,PG-NIK,ATN,150,-3.6695,152.4380
AYNY,small_airport,Nambaiyufa Airport,Nambaiyufa,PG,PG-CPK,NBA,5550,-6.2412,145.2424
AYNZ,medium_airport,Nadzab Airport,Lae,PG,PG-MPL,LAE,239,-6.5698,146.7260
AYOA,small_airport,Kwomtari Airstrip,Kwomtari,PG,PG-SAN,,366,-3.5980,141.3614
